"quantile","target_end_date","location","target","truth","value","model","window_size"
0.2,2020-08-29,"53","1 wk ahead cum death",1899,1927.02346283981,"QNA3",4
0.2,2020-08-29,"13","1 wk ahead cum death",5576,5483.91213871385,"QNA3",4
0.2,2020-08-29,"34","1 wk ahead cum death",15933,15965.4265898979,"QNA3",4
0.2,2020-08-29,"44","1 wk ahead cum death",1046,1033.27163386917,"QNA3",4
0.2,2020-08-29,"30","1 wk ahead cum death",104,94.4308765832583,"QNA3",4
0.2,2020-08-29,"55","1 wk ahead cum death",1178,1118.52426306067,"QNA3",4
0.2,2020-08-29,"16","1 wk ahead cum death",358,333.284174719095,"QNA3",4
0.2,2020-08-29,"01","1 wk ahead cum death",2152,2094.57928041191,"QNA3",4
0.2,2020-08-29,"36","1 wk ahead cum death",32891,32898.8244707142,"QNA3",4
0.2,2020-08-29,"46","1 wk ahead cum death",167,163.488174672458,"QNA3",4
0.2,2020-08-29,"54","1 wk ahead cum death",215,191.029574746308,"QNA3",4
0.2,2020-08-29,"US","1 wk ahead cum death",183021,182505.446612039,"QNA3",4
0.2,2020-08-29,"09","1 wk ahead cum death",4465,4462.50872973586,"QNA3",4
0.2,2020-08-29,"04","1 wk ahead cum death",5007,4971.77665576452,"QNA3",4
0.2,2020-08-29,"31","1 wk ahead cum death",392,386.775600563147,"QNA3",4
0.2,2020-08-29,"56","1 wk ahead cum death",37,39.7548368726929,"QNA3",4
0.2,2020-08-29,"17","1 wk ahead cum death",8217,8207.63817280548,"QNA3",4
0.2,2020-08-29,"02","1 wk ahead cum death",37,33.5301593933033,"QNA3",4
0.2,2020-08-29,"20","1 wk ahead cum death",449,444.910982720453,"QNA3",4
0.2,2020-08-29,"21","1 wk ahead cum death",921,925.302493912154,"QNA3",4
0.2,2020-08-29,"22","1 wk ahead cum death",4904,4875.46610935486,"QNA3",4
0.2,2020-08-29,"19","1 wk ahead cum death",1100,1082.2283181325,"QNA3",4
0.2,2020-08-29,"18","1 wk ahead cum death",3285,3301.23620628655,"QNA3",4
0.2,2020-08-29,"15","1 wk ahead cum death",62,49.5697147337881,"QNA3",4
0.2,2020-08-29,"05","1 wk ahead cum death",772,747.709595638448,"QNA3",4
0.25,2020-08-29,"47","1 wk ahead cum death",1725,1713.44780728482,"QNA3",4
0.25,2020-08-29,"49","1 wk ahead cum death",407,400.696461652986,"QNA3",4
0.25,2020-08-29,"10","1 wk ahead cum death",604,603.043747088564,"QNA3",4
0.25,2020-08-29,"40","1 wk ahead cum death",797,782.419026118025,"QNA3",4
0.25,2020-08-29,"08","1 wk ahead cum death",1942,1939.96147907916,"QNA3",4
0.25,2020-08-29,"17","1 wk ahead cum death",8217,8211.85101537858,"QNA3",4
0.25,2020-08-29,"51","1 wk ahead cum death",2568,2511.12641160177,"QNA3",4
0.25,2020-08-29,"48","1 wk ahead cum death",12987,12701.229557478,"QNA3",4
0.25,2020-08-29,"06","1 wk ahead cum death",12894,13084.7675142337,"QNA3",4
0.25,2020-08-29,"50","1 wk ahead cum death",58,58.0104919426651,"QNA3",4
0.25,2020-08-29,"39","1 wk ahead cum death",4126,4097.77441252342,"QNA3",4
0.25,2020-08-29,"12","1 wk ahead cum death",11105,11074.6147691623,"QNA3",4
0.25,2020-08-29,"41","1 wk ahead cum death",454,439.540298037237,"QNA3",4
